,英単語,意味,発音記号
4226,traitor, (国・主義・信用などに対する)『裏切り者』、反逆者、むほん人《+to+名》,tréitər
4227,cautious, 『用心深い』、慎重な,kɔ’:ʃəs
4228,prior, (時間・順序が)『前の』先の;(重要さが)優先する  小修道院長;(時に)修道院の副院長(abbotの次に位する),práiər
4229,undertook, undertake の過去,ʌ`ndərtúk
4230,telegram, 『電報』、電文,téligræ`m
4231,beggar, こじき / 貧乏人・貧困者 / 《おもに喜話》やつ・野郎 / …’を’貧困に陥らせる、零落させる,bégər
4232,chimney, 『煙突』 / (ランプの)ほや / 煙突食の物;(火山の)噴煙口;(岩面の)直立裂孔(煙突を二つに割ったような裂け目),ʧímni
4233,complicated, 『複雑な』、込み入った(complex),kɑ’mpləkèitid
4234,converse, (…について…と)話す《+『with』+『名』+『on』(『about』)+『名』》  (方向・動き・順序などが)『反対の』、逆の(opposite、 contrary) / 反対のもの、逆 / (論理学で)反対(転換)命題,kənvə’:rs
4235,apology, 〈C〉(…に対する)『わび』、謝罪;言い訳、弁解《+『for』+『名』(do『ing』)》 / 〈U〉〈C〉(口頭・文書による)(…の)弁護、弁明(defense)《+『for』+『名』》 / 〈C〉《話》(…とは)申し訳ばかりのもの、(…の)お粗末な代用品《+『for』+『名』》,əpɑ’ləʤi
4236,imprisonment, 投獄;監禁,impríznmənt
4237,eastward, 東へ / 東(東方)の(に向かう),í:stwərd
4238,substitute, (…の)『代りをする人(物)』、補欠(選手など)、代用品《+for+名》 / …‘を'(…の)『代りに用いる』《+名+for+名》 / (…の)『代りをする』《+for+名》,sʌ’bstət(j)ù:t
4239,handful, (…の)『一握り』、一つかみ《+『of』+『名』》 / 《a handful》(…の)わずか、少量、少数《+of+名》 / 《話》手に負えない人(物事),hæ’ndfùl
4240,usage, 〈U〉(物の)『用い方』、用法 / 〈C〉〈U〉(言語の)『慣用[法]』、語法,jú:siʤ
4241,villain, 『悪者』、悪漢、悪党 / (劇・小説などの)悪役、かたき役 / 《おどけて》小僧、やつ / 《英話》犯人 / =villein,vílən
4242,restoration,〈U〉(…を元の状態・役職などに)『復活』(『回復』)『すること』、(…の…への)修復(復元)《+『of』+『名』+『to』+『名』》 / 〈U〉(…の)返還《+『of』+『名』》 / 〈C〉修復した物、復元された物 / 《the R-》(英国の)王政回復(1660年のチャールズ2世の復位);王政回復時代(1660‐88),rèstəréiʃən
4243,serpent, (特に大きくて毒を持った)『ヘビ』(『蛇』) / 蛇に似た怪物(dragonなど) / こうかつな人、陰険な人,sə’:rpənt
4244,hedge, 『生け垣』 / (一般に)生根、障壁、境界 / (危険などから)守るもの、(…に対する)保護手段《+『against』+『名』》 / …‘を’生け垣)垣根、さく)で囲む / 〈かけ、投資〉‘を’両方にかけて丸損を防ぐ / (自由に動けないように、障害などで)…‘を’囲む、束縛する《+『名』+『in』(『round』)+『with』+『名』、+『in』(『round』)+『名』+『with』+『名』》 / 確答をしない、逃げ道を作っておく,héʤ
4245,jurisdiction, 司法権、裁判権 / 支配権、管轄権 / 管轄区域,ʤù(ə)risdíkʃən
4246,valiant, (人・行為が)『勇敢な』、雄々しい,væ’ljənt
4247,primary, 『第一の』、『主要な』 / 『初期の』、『初等の』、初級の / 『根本的な』、基本的な、本来の、直接的な / 《名詞の前にのみ用いて》(回路・コイル・巻き・電流などが)一次の / 原色(三原色の一つ) / 《米》=primary election,práimeri
4248,beam, 〈C〉(建設の)『はり』、『けた』、横材 / 〈C〉(船の甲板を支える)横はり / 〈C〉(はかりの)さお;(織機の)糸巻き / 〈C〉『光線』、光束 / 〈C〉(顔などの)『輝き』、晴れやかさ / 〈C〉(船舶・航空機用の)信号電波 / 〈U〉最大船幅 / 《副詞[句]を伴って》『輝く』、光を発する / (…に)顔を輝かせる《+『at』(『on、 upon』)+『名』》 / 〈光・熱〉’を’出す、発散する / (…に向けて)〈放送・無線信号〉’を’送る《+『名』+『at』(『to』)+『名』》 / …’を’顔を輝かせて言う,bí:m
4249,Victoria,ビクトリア女王(Queen Victoria(1837‐1901);1819‐1901) / ビクトリア湖(Lake Victoria;アフリカ大陸中央東部の湖でナイル川の源901) / オーストラリア南東部の州 / Hong Kong の主都,viktɔ’:riə
4250,tour, (数か所に立ち寄る比較的長期の)(…の)『観光旅行』《+around(《英》round)(through、in、of)+名》・(特に、見学、観光などの)(…の)『小旅行』《+around(《英》round)(through、in、of)+名》・(劇団の)巡業、演奏旅行・(外地の一定の場所での)服務期間・…を旅行する・ / (…を)旅行する《+at(in、through、around(《英》round))+名》,túər
4251,prophecy, 予言;神のお告げ / 〈U〉予言すること,prɑ’fəsi
4252,obsolete, (言葉・習慣などが)すたれた / 時代遅れの、旧式の(our of date),ɑ`bsəlí:t
4253,shepherd, 〈C〉『羊飼い』 / 〈C〉牧師;(精神的)指導者 / 《the good S-》イエスキリスト / 〈羊〉‘を’飼う、‘の’世話をする;…‘を’見張る / 《方向を表す副詞[句]を伴って》‘を’導く、案内する,ʃépərd
4254,exaggerated, 大げさな、誇張された,igzæ’ʤərèitid
4255,heated, 熱せられた / 興奮した、怒った,hí:tid
4256,earl, (英国の)伯爵,ə’:rl
4257,hereditary, 世襲の、親譲りの / 遺伝的な、遺伝性の,hərédətèri
4258,supernatural, 超自然の / 幽霊(よう精)の / 超自然的な現象、神秘,sù:pərnæ’ʧər(ə)l
4259,competent, 『有能な』、能力ある;適任の / (要求を満たすのに)十分な、満足できる / (役所・役人・証人などが)権限(資格)を持つ,kɑ’mpət(ə)nt
4260,hostess, (客を接待する)『女主人』、主人役の女性 / (レストラン・ナイトクラブなどの)『ホステス』 / (列車・船などの)女性サービス係、(航空機の)スチュワーデス / (旅館などの)女主人、おかみ,hóustis
4261,agriculture, 『農業』、農学,æ’grikʌ`lʧər
4262,urgent, 『急を要する』、緊急の / 『しつこい』、うるさく頼む,ə’:rʤənt
4263,suffice, 『十分である』、足りる / …‘に’十分である、‘を’満足させる,səfáis
4264,accuracy, 『正確さ』、精密,æ’kjurəsi
4265,deceased, 『死亡した』(dead)、故人となった(late) / 《名詞的に;the de・ceased》《単数扱い》《特定の》故人;《集合的に》故人たち,disí:st
4266,circular, 『円形の』、丸い / 回転して動く / 循環的な、旋回する;回遊する / (公衆に配布する)案内状、広告ビラ,sə’:rkjulər
4267,Rhine, ライン川(スイスに発し、ドイツ・オランダを通り北海に注ぐ),ráin
4268,alert, 『油断のない』、用心深い / (頭の回転・動作などが)機敏な / (動作が)敏しょうな / 〈U〉《しばしばthe ~》警戒、用心 / 〈C〉警報;警報発令期間 / (…に対して)…‘に’警報(警告)を出す、警戒態勢をとらせる《+『名』+『to』+『名』》,ələ’:rt
4269,democratic, 『民主主義の』、民主政体の / (人・態度などが)『民主的な』、庶民的な / 《『D』‐》《米》民主党の,dèməkræ’tik
4270,Quebec, ケベック(カナダ東部の州;その州都;《略》『Que』.),kwibék
4271,bud, 〈C〉『茅;つぼみ』 / 〈C〉(下等動物の)茅状突起 / 〈U〉発茅;発茅期 / 〈C〉子供、小娘、少年 / 〈植物が〉茅を出す;つぼみを持つ / 成長し始める,bʌ’d
4272,Augustus,オーガスタス(ローマ帝国初代の皇帝;Julius Caesarの後継者;63B.C-A.D.14),ɔ:gʌ’stəs
4273,blanket, 『毛布』 / (毛布にように)一面に広がっておおう物 / …’を’毛布でおおう、(毛布でおおうように)…’を’一面におおう / 包括的な、総括的な,blæ’ŋkit
4274,hail, 〈U〉『あられ』、ひょう / 《a~》(…の)雨あられ、あらし《+『of』+『名』》 / あられ(ひょう)が降る / (人に)〈石・悪口など〉‘を’雨あられと浴びせる《+『名』+『on』+『名』》  …‘を’『歓呼して迎える』 / あいさつ;呼び掛け / 万歳,héil
4275,pig, 〈C〉『豚』;子豚 / 〈U〉豚肉(pork) / 〈C〉《話》豚のような人(不潔な人、食いしんぼう、欲張り、非常に太った人など) / 〈C〉なまこ(型に流しこんで作った鉄・鉛などの金属塊);なまこを作る型;銑鉄(せんてつ)(pig iron) / 《俗》《軽べつして》おまわり,píg
4276,shaped, 表面が平らでない / 《複合語を作って》「…を形した」「…形の」の意を表す,ʃeipt
4277,oven, 天火、かまど、オーブン,ʌ’vən
4278,ivory, 〈U〉『象牙』(ぞうげ) / 〈C〉《しばしば複数形で》象牙製の物 / 〈U〉象牙色 / 象牙の[ような];象牙色の,áiv(ə)ri
4279,northward, 北へ(に) / 北の;北へ向かう / 北部、北方,nɔ’:rθwərd
4280,isolated, 孤立した;隔離された,áisəlèitid
4281,policeman, 警官、巡査,pəlí:smən
4282,conventional, 『型にはまった』、おきまりの / 慣例の、示慣的な、因襲的な / (核兵器に対して)通常兵器の,kənvénʃənl
4283,Babylon, バビロン(古代Babyloniaの首都),bæ’bələn
4284,dusty, 『ほこりっぽい』、ほこりだらけの / ほこりのような色の、つやのない / ほこりのような、粉末状の,dʌ’sti
4285,plead, 嘆願する、懇願する / (訴訟で)(…を)弁護する《+『for』+『名』》;(…に)抗弁する、申し開きをする《+『against』+『名』》 / …‘を’言い訳(理由)として述べる / (訴訟)…‘を’弁護する、弁論する,plí:d
4286,hinder, 後方の、後部の  〈物事〉‘を’『運行を妨げる』;〈人〉‘を’『じゃまする』,háindər
4287,cord,〈U〉〈C〉『綱、ひも』(stringより太くropeより細い) / 〈U〉〈C〉束縛、きずな / 〈C〉〈U〉(電気の)『コード』、線 / (またchord)〈C〉(動物体の)索状組織、腱(けん) / 〈C〉うね織り、(特に)コールテン;(うね織りの)うね;《複数形で》コールテンのズボン / 〈C〉コード(材木の容積の単位で約6.25m) / …’を’綱(ひも)で縛る,kɔ’:rd
4288,personage, 『著名人』、名士 / 人 / (劇・小説などの)[登場]人物(character),pə’:rs(ə)niʤ
4289,classical,古典の;古典時代の;古典様式の / (文学・芸術において)古典主義の(簡潔で調和を保ち洗練されているのが特徴) / (ジャズ・フォークなどに対して主として20世紀初頭までの)古典派の / (新奇な・実験的なものではなく)伝統的な、正統的な / (専門科目に対して)教養科目の,klæ’sikəl
4290,alongside, そばに、並んで / …のそばに、と並んで,əlɑ’:ŋsaid
4291,extract, (…から)〈物〉‘を’『引き抜く』、抜き取る《+『名』+『from』+『名』》 / (…から)〈金・情報・約束など〉‘を’『引き出す』《+『名』+『from』+『名』》 / (圧搾・蒸留などが)(…から)〈成分など〉‘を’絞り出す、抽出する《+『名』+『from』+『名』》 / (…から)〈喜び・慰めなど〉‘を’引き出す、得る《+『名』+『from』(『out of』)+『名』》 / (本などから)〈語句〉‘を’抜粋する、抜き出す《+『名』+『from』(『out of』)+『名』》 / 〈U〉〈C〉(自然の物質から調製した)濃縮液、精、エキス / 〈C〉(文学作品からの)引用句、抜粋《+『from』+『名』》,ikstræ’kt
4292,lighter, (また『cigarette lighter』)(たばこの)ライター / (一般に)点火器 / 火(明かり)をつける人  はしけ / …‘を’はしけで運ぶ,láitər
4293,pint,パイント(液量および穀量の単位;《英》では約0.57リットル、《米》では約0.47リットル),páint
4294,forgiven, forgiveの過去分詞,fərgív(ə)n
4295,sternly, 厳しく、厳格に,stə:rnli
4296,proclamation, 〈U〉(…の)『宣言』、公布、布告《+『of』+『名』》 / 〈C〉声明書、宣言書,prɑ`kləméiʃən
4297,tube, (金属・ガラス・ゴムなどの)管、筒 / (絵の具・歯みがきなどの)チューブ / 《米》(列車・地下鉄の)トンネル / 《英》地下鉄(《米》subway) / (ラジオ・テレビなどの)真空管(vacuum tube) / (動植物の)管状器官,t(j)ú:b
4298,observer, (…を)『観察する人』、見泉る人《+『of』+『名』》 / オブザーバー(会議などの正式の代表者でなく傍聴する人) / (規則・習慣などを)守る人,əbzə’:rvər
4299,smote, smite の過去,smóut
4300,avenue, (門から家に向かう)『並木道』 / (都市の)『大通り』、『街路』、…街 / (…に)近づく道(手段)《+『to』+『名』》,æ’vən(j)ù:
4301,elephant, 『ゾウ』 / (共和党の象徴としての)象,éləfənt
4302,footing, 《a ~》足もと;足がかり、足場 / 確実な立場、安定した地位、基盤 / (…との)間柄、相互関係《+『with』+『名』》,fútiŋ
4303,statesman, (特に有能で公正な)『政治家』,stéitsmən
4304,Esther, エステル記(旧約聖書の歴史書の一つ),éstər
4305,Indiana, インディアナ州(米国中部の州;州都はIndianapolis;《略》『Ind』、『IN』),ìndiæ’nə
4306,affecting, 心を打つ、感動的な,əféktiŋ
4307,stormy, 『あらしの』、暴風雨の、あらしになりそうな / (感情・言動が)『激しい』,stɔ’:rmi
4308,bee, 『はち』、(特に)みつばち(honeybee) / 《米話》(趣味・仕事上の)集会、集い / (親善のための)競技会 / 働き者,bí:
4309,bury, 〈死体〉’を’『埋葬する』、土葬する、水葬する / (見えないように)…’を’『おおい隠す』 / …’を’深く突っ込む / (…に)〈人〉’を’没頭させる《+『名』〈人〉+『in』+『名』》,béri
4310,efficient, 『能率的な』、効率のいい / 『有能な』、敏腕な,ifíʃənt
4311,mix, 〈複数のもの〉‘を’『混ぜ合わせる』、混合する、混同する / …‘を’混ぜ合わせて作る、調合して作る / …‘を’寄せ集める、まとめる / 〈物が〉(…と)混ざる、混合する《+『with』+『名』》 / 〈人が〉(他の人と)交わる、交際する《+『with』+『名』》 / 〈C〉〈U〉混合 / 〈C〉混合物(食品、薬) / 〈C〉〈U〉(水・火を加えて即席にでき上がる)素(もと)、ミックス,míks
4312,actor, (男の)『俳優』、『男優』 / 行為者,æ’ktər
4313,disturbance, 〈U〉乱す(騒がす、妨害する)こと;乱れた状態 / 〈C〉騒ぎ、騒動、動乱 / 〈C〉乱す(騒がす、妨害する)もの,distə’:rbəns
4314,sweat, 〈U〉『汗』 / 〈U〉(一般に、物の表面にできる)湿気、露、水滴 / 〈U〉《しばしばa ~》発汗[状態];〈C〉発汗作用 / 〈U〉《しばしばa ~》《話》心配(いらだち、怒り)の状態 / 〈U〉《しばしばa ~》骨折り、つらい労働 / 『汗をかく』 / (一般に、物の表面が)湿気を帯びる、汗をかく / 《話》汗水流して働く / 〈水分〉‘を’毛穴などから出す / …‘に’汗をかかせる / 〈体重など〉‘を’汗を流して減らす《+away(off)+名、+away(off)+名》 / …から水分を出させる / 〈人・馬など〉‘を’汗水流して働かせる、酷使する,swét
4315,executive, 『実行の』、執行力のある / 『行政上の』、行政的な / 〈C〉『行政官』: / 《the executive》(政府の)行政部 / 〈C〉(会社などの)『重役』、経営陣、管理職員,igzékjutiv
4316,seemingly, うわべは、表面は(apparently) / 一見したところ、なるほど,sí:miŋli
4317,tenth,《the~》『第10の』、10番目の / 10分の1の / 《the~》『第10』、10番則[のもの]、(月の)10日 / 〈U〉10分の1 / 〈C〉(音楽で)10座[音程],ténθ
4318,painfully, 苦しんで、痛んで,péinfəli
4319,polish, …‘を’『磨く』、光らせる、‘の’つやを出す / 〈態度・言葉など〉‘を’『洗練する』、上品にする / 〈文章・演技など〉‘に’磨きをかける / 磨いてつやが出る、滑らかになる / 《a ~》光沢、つや / 〈U〉〈C〉つや出し、みがき粉 / 《a ~》磨きをかけること / 〈U〉(態度・ふるまいの)先練、上品さ,pɑ’liʃ
4320,shudder, (恐怖・寒さなどで)『身震いする』 / 『身震い』;戦慄(せんりつ),ʃʌ’dər
4321,comparative, 『比較の』、比較による / 比較的、かなりの / 比較級の / 比較級,kəmpæ’rətiv
4322,begging, begの現在分詞形 / 物ごいの / 物ごい,bégiŋ
4323,imposing, 人を威圧するような、堂々たる,impóuziŋ
4324,notable, 『注目に値する』、目立った / 〈C〉著名人、名士,nóutəbl
4325,mute, (障害で)『口のきけない』、ものを言えない / 『無言の』、声(音)を出さない / (文字が)発音されない、黙字の / 口のきけない人(dumb person) / (楽器に付ける)弱音機、ミュート / …‘の’音を消す(弱める)、〈楽器〉‘に’弱音機を付ける;〈声・音〉‘を’弱める  (鳥の)排せつ物,mjú:t
4326,cage, 『鳥かご』;(動物の)『おり』 / 鳥かご(おり)のような物;エレベーターの箱 / 野球の打撃練習用の移動バックネット / 獄舎 / …’を’かご(おり)に入れる,kéiʤ
4327,cargo, (船・飛行機の)『積荷』、貨物,kɑ’:rgou
4328,jail, 〈C〉刑務所、牢獄、拘置所 / 〈U〉入獄、拘置 / …‘を’刑務所に入れる、投獄する;…‘を’拘置する,ʤéil
4329,illusion, 『思い込み』、思い違い / 〈C〉(…の)『幻覚』、幻影、幻、錯覚《+『of』+『名』》,ilú:ʒən
4330,torment, 〈痛み・悩みなどが〉(精神的・肉体的に)〈人〉‘を’『苦しめる』 / (…で)…‘を’悩ませる、困らせる《+名+with+名》、(…して)…‘を’困らせる《+名+by doing》 / 〈U〉《時に複数形で》『激しい苦痛(苦悩)』 / 〈C〉悩みの種,tɔ:rmént
4331,troublesome, 『迷惑な』・人を悩ませる / 『やっかいな』、骨の折れる,trʌ’blsəm
4332,repentance, (過去の行為などに対する)後悔、悔悟《+『for』+『名』》,ripént(ə)ns
4333,proprietor, 持ち主、所有者;経営者,prəpráiətər
4334,uncertainty, 〈U〉確信のなさ;疑わしさ;変わりやすさ;不明確さ / 〈C〉《しばしば複数形で》確信のない(疑わしい、変わりやすい、不明確な)こと,ʌnsə’:t(ə)nti
4335,concentrated, 集中した / 濃縮した,kɑ’nsəntrèitid
4336,scream, (恐怖・苦痛などで)〈人が〉『悲鳴をあげる』、金切り声を出す / 〈鳥・気笛などが〉『かん高い音を出す』 / どなる、わめく、金切り声で言う / …‘を’『金切り声で言う』、大声で叫ぶ・金切り声、かん高い(鋭い)音 / 《俗》とてもおもしろおかしい人(物),skrí:m
4337,compromise, 〈U〉〈C〉(…との)『妥協』、和解、和解《+『with』+『名』》 / 〈C〉妥協案、折衷案;折衷したもの / 〈信用・名声など〉’を’危うくする、傷つける、汚す / (…と)『妥協する』、和解する《+『with』+『名』》,kɑ’mprəmàiz
4338,respectful, 礼儀正しい、ていねいな,rispéktfəl
4339,chariot,(古代の)一人乗り軽二輪戦車(通例2頭立てで、御者は立って操縦し、戦い・競走・狩猟などに用いた),ʧæ’riət
4340,ammunition, 〈U〉《集合的に》 / 弾薬,æ`mjuníʃən
4341,bonnet, 『ボンネット』(婦人・子供用のひもをあご下で結ぶ大きな帽子) / 《英》ボンネット(自動車の前方機関部のおおい;《米》hood),bɑ’nit
4342,secondary,『第2の』、2番目の;(…の)次の《+『to』+『名』》 / 派生的な、二次的な、あまり重要でない / 中等学校[教育]の / 二次電流の,sékəndèri
4343,Persia,ペルシア(1935年Iranと改称した),pə’:rʃə
4344,persecution, (特に、異教徒・異種族・政治的対抗者などに対する)迫害、虐待;迫害(虐待)されている状態,pə`:rsikjú:ʃən
4345,lesser, 『いっそう小さい(少ない、重要でない)』、より劣った,lésər
4346,assistant, 『助手』、補佐役;店員 / 補助の、副…、助…,əsístənt
4347,cane, 〈C〉(トウ・タケ・サトウキビなどの)『茎』 / 〈U〉(用材としての)『トウ』(いす・かごなどを作る) / 〈C〉ステッキ、トウヅエ / 〈C〉むち / 〈C〉サトウキビ / 〈人〉’を’むち打って罰する / 〈家具〉’を’トウで作る(修理する),kéin
4348,fold, 《副語[句]を伴って》〈紙など〉‘を’『折る』、折り重ねる / 〈両手など〉‘を’『組む』;〈鳥が〉〈翼〉‘を’畳む / (…に)…‘を’巻き付ける《+『around(about)』+『名』》 / …‘を’抱き締める(embrace) / 《副語[句]を伴って》〈扇などが〉折リ畳める / 《話》〈事業などが〉つぶれる、閉じる《+『up』》 / ひだ / 折り目、畳み目 / (土地の)くぼみ / 起伏  (家畜、特に羊を入れておく)囲い、おり / 《比喩(ひゆ)的に》キリスト教会,fóuld
4349,boundary, 『境界線』、境(border) / 限界,báund(ə)ri
4350,valued, 貴重な、高く評価される、大切な,væ’lju:d
4351,she’ll, she will、 she shallの短縮形,ʃíl
4352,rugged, 『でこぼこの』、ざらざらした、ごつごつした / (人間の体つき・物の造りなどが)かっしりした、がんじょうな / (物事が)厳しい、困難な / (人・態度・性格などが)粗野な、武骨な,rʌ’gid
4353,aloft, 空中高く、上に / マストの頂上に,əlɔ’:ft
4354,thieves, thief(泥棒)の複数形,θi:vz
4355,indebted, (…に対して…の)借金(負債)がある《+『to』+『名』+『for』+『名』》 / (…に対して…の)恩義を受けている《+『to』+『名』+『for』+『名』》,indétid
4356,argue, (人と…について)『議論する』、論争する、言い争う《+『with』+『名』〈人〉+『about』(『on、 over』)+『名』》 / (…に賛成・反対して)論じる、主張する《+『for』(『in favor of、 against』)+『名』》 / …’を’『議論する』、論じる / (…するように)〈人〉’を’『説得する』、説き伏せる《+『名』〈人〉+『into』+『名』(do『ing』)》、(…しないように)〈人〉’を’説得する《+『名』〈人〉+『out of』+『名』》 / 〈物事が〉…’を’示す、表す(show),ɑ’:rgju:
4357,dearly, 『愛情をもって』、心から / 『多大の儀接を払って』,dirli
4358,logic, 『論理学』 / 『論理』、論法 / 《話》いやおうを言わせぬ力、必然性 / 《話》もっともな考え,lɑ’ʤik
4359,panic, 〈C〉〈U〉『あわてふためき、恐慌』、ろうばい / 〈C〉経済恐慌、パニック / 《単数形で》《米俗》とてもおかしなもの、珍無類なもの / あわてふためく、恐慌に陥る / …‘を’あわてさせる / 《米俗》〈観客〉‘を’沸きたたせる,pæ’nik
4360,restrained, (人・人の行動が)控え目な、節度がある / (表現・外観などが)穏やかな、押さえた,ristréind
4361,vainly, むだに、いたずらに / うぬぼれて、得意気に,véinli
4362,weariness, 疲労;退屈,wírinəs
4363,Franklin,フランクリン(Benjamin Franklin;1706‐90; 米国の政治家・外交官・著述家・物理学者、避雷針の発明者),fræ’ŋklin
4364,rural, 『いなか』(『田舎』)『の』、田園の、農村の / 田舎ふうの / 農業の,rú(ə)rəl
4365,torrent, 『ほとばしり出るもの』;(…の)『奔流』《+of+名》 / (言葉・感情などの)ほとばしり、激発《+of+名》,tɔ’:rənt
4366,resolute, 『決心の堅い』、断固たる,rézəlù:t
4367,refrain, (…を)『控える』、『慎む』、思いとどまる《+『from』+『名』(do『ing』)》  (詩・歌の各節の終りの)繰り返し文句,rifréin
4368,gorgeous, 『豪華な』、きらびやかな、華麗な / 《話》とても美しい、魅力的な,gɔ’:rʤəs
4369,circulation, 〈U〉『血液の循環』、血行 / 〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など、印刷物の)配布 / 〈C〉(新聞・雑誌などの)発行部数,sə`:rkjuléiʃən
4370,unexpectedly, 『思いがけなく』,ʌ`nikspéktidli
4371,stress, 〈U〉〈C〉(精神的・感情的な)『緊張』、ストレス / 〈U〉(…に対する)『強調』、力説《+on+名》 / 〈C〉〈U〉『強勢』、アクセント / 〈U〉(一般に)『圧迫』、圧力 / …‘を’『強調する』、力説する / 〈音節・語〉‘に’強勢(アクセント)を置く / 《まれ》（に）圧力をかける,strés
4372,consumption, 『消費』《時に形容詞を伴ってa~》(…の)消費高(量) / (体力の)消耗 / 《古》肺病、肺結核,kənsʌ’mpʃən
4373,groan, (苦痛・悲嘆などで出す)『うなり声』、うめき声 / 不平(不満、不賛成、あざけりなど)のうめき声 / ギーッときしむ音 / (苦痛・悲嘆などで)『うめく』、うなる《+『with+『名』》;(圧倒・重荷などに)うめき苦しむ《+『under』+『名』 / うなるような音を出す、うめきに似た声を出す / 〈棚・テーブルなどが〉きしむほど(…を)載せている《+『with』+『名』》 / 〈話・言葉〉‘を’うめきながら言う、うめくように言う《+『out』+『名』、+『名』+『out』》 / 〈人〉‘を’不満(非難)の声で黙らせる《+『down』+『名』、+『名』+『down』》,gróun
4374,sustain, …‘を’『持続する』、続けてする / 〈人〉‘を’『元気づける』 / 〈家族など〉‘を’『養う』 / 《文》(物が下から)…‘を’『支える』 / 〈損害・傷害など〉‘を’『受ける』、こうむる / 〈苦難など〉‘に’耐える、耐え抜く / (法的に)…‘を’認める / …‘を’立証する、確証する,səstéin
4375,crash, 『ガラガラ』、『ドシン』(物が倒れたり砕けたりするときの音) / (飛行機の)『墜落』;(車の)『衝突』 / (事業・相場などの)崩壊、破産 / 『ガチャン』(『ドシン』、『ガラガラ』)『と大きな音をたてる』 / (…に)ガチャン(ドシン)と衝突する《+『into』(『against』)+『名』》 / 大きな音をたてて動く / 〈飛行機が〉墜落する / 〈事業などが〉つぶれる / (…にぶつけて)…’を’『ガチャン』(ドシン)、『ガラガラ』)『と壊す』《+『名』+『against』(『into、 to』)+『名』》 / 〈飛行機・車など〉’を’衝突させる / 《話》(またgatecrash)(招待状・切符なしで)…‘に’押し掛ける・もぐり込む / 応急の,kræ’ʃ
4376,resemble, …‘に’『似ている』、‘と’共通点がある(受動態や進行形にできない),rizémbl
4377,epoch, 『画期的な時代』、時期 / (歴史上の)新時代、新紀元 / 世(せい)(紀(period)の次に小さい単位),épək
4378,quote,(…から)〈言葉・文章など〉‘を’『引用する』(cite)《+『名』+『from』+『名』》 / …‘を’引き合いに出す / 〈値段・評価額〉‘を’見積もる / …‘を’引用符で囲む / (…から)引用する《+『from』+『名』》 / (…の)相場(時価)を見積もる《+『for』+『名』》 / 見積もり、見積価格、価格を提示されたもの/ =quotation2 / 《複数形で》=quotation mark,kwóut
4379,lacking, 『欠けている』、ない,læ’kiŋ
4380,aristocracy, 〈U〉貴族政治;貴族政治の国、貴族による政府 / 《the~》《集合的に》『貴族』、貴族階級(社会) / 〈C〉(富・知性・教養などで)第一流の人々,æ`rəstɑ’krəsi
4381,granite, 花こう岩、みかげ石,græ’nit
4382,gradual, 『段階的な』、漸次の、徐々の / (勾配(こうばい)が)ゆるやかな,græ’ʤuəl
4383,joyful, 『うれしい』、喜びに満ちた,ʤɔ’ifəl
4384,sack, 〈C〉(丈夫な布(革)製の)『大袋』 / 〈C〉《おもに米》(一般に)袋、(特に、購入した食料を入れる)紙袋　〈C〉(婦人・子供用の)ゆったりして短い上着 / 《the ~》《米俗》ベッド、寝袋 / 〈U〉《the ~》《俗》(…からの)解雇《+『from』+『名』》 / …‘を’袋に入れる / 《話》〈人〉‘を’解雇する  (軍隊が占領後)〈都市など〉‘を’略奪する / (都市などの)略奪  サック酒(白ぶどう酒の一種),sæ’k
4385,slumber, (特に、心地よく)眠る、まどろむ / 活動していない / 〈時など〉‘を’眠って(活動しないで)過ごす《+『away』+『名、』+『名』+『away』》 / 眠り、まどろみ,slʌ’mbər
4386,detached, 離れた、分離した;分遣された / (意見・判断が)公平な / 超然とした、無関心の,ditæ’ʧt
4387,shadowy, 陰になった、影を生ずる / 影のような、ぼんやりとした,ʃæ’doui
4388,annoyance, 〈U〉困惑、迷惑、いらだたしさ / 〈C〉困らせる(いらいらさせる)人(物、事),ənɔ’iəns
4389,crush, …’を’『押しつぶす』、ぺしゃんこにする《+『up』+『名、』+『名』+『up』》 / …’を’『砕く』、粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…’を’押しつける《+『名』+『against』+『名』》;(…に)…’を’押し込む《+『名』+『into』+『名』》 / (…から)…’を’押しつぶして出す、しぼり出す《+『名』+『from』+『名』》 / …’を’ぎゅっと抱きしめる / …’を’打ちのめす、打ちひしぐ《+『down』+『名、』+『名』+『down』》 / 『つぶれる』、ぺしゃんこになる;くしゃくしゃになる / 『砕ける』、粉々になる / (…に)押し合って入る、殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い、殺到 / 〈C〉《話》《単数形で》大混雑の集会、すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること、(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手,krʌ’ʃ
