6093,paste, (接着用の)『のり』 / (一般に)のり状のもの / (菓子を作るための)練り粉、ペースト / (人造宝石用材料の)鉛ガラス;模造宝石 / (…に)…‘を’『のりではる』《+『down』+『名』+『in(on)』+『名』》 / (…を)…‘に’のりではり付ける《+『名』+『with』+『名』》 / 《俗》<顔・体など>‘を’強打する、なぐりつける,péist
6094,regularity, 規則正しさ、整然としていること,règjəlæ’rəti
6095,metallic, 金属の、金属質の / 金属を含む / 金属に似た、金属特有の,mətæ’lik
6096,scrap, 〈C〉『かけら』、小片;少し;《A~》少々(の…)《+『of』+『名』》 / 〈C〉《複数形で》残りもの、食べ残し / 〈U〉(くず鉄など)金属のスクラップ / 〈U〉『くず』、廃物、がらくた / (役に立たないとして)…‘を’捨てる(discard) / …‘を’くず(スクラップ)にする  (突然のちょっとした)いさかい、けんか / けんかする,skræ’p
6097,convict, (…の罪状で)〈人〉‘に’『有罪を宣告する』《+『名』+『of』+『名』(do『ing』)》 / 《文》《しばしば受動態で》(罪・誤りなどを)…に悟らせる《+『名』+『of』+『名』》 / 『罪人』、囚人,kənvíkt
6098,instructive, 『ためになる』、,instrʌ’ktiv
6099,investigate, (注意深く)〈問題・事件など〉‘を’『調べる』、研究する / (…を)『調査する』《+『into』+『名』》,invéstəgèit
6100,package, (あまり大きくない)『包み』、梱包(こんぽう);詰め合わせ品 / (箱・ケースなど、荷作り用の)容器 / …‘を’荷作りする、包む;…‘を’箱に入れる,pæ’kiʤ
6101,pirate, 『海賊』海賊船 / 著作(特許)権侵害者、剽窃(ひょうせつ)者 / …‘に’海賊行為を働く;…‘から’略奪する / 〈本・芸術作品・発明〉‘の’著作(特許)権を侵害する / 海賊を働く / 著作(特許)権を侵害する,pái(ə)rət
6102,fiend, 悪魔(devil)、悪鬼 / 邪悪(残忍)な人 / 《話》(趣味などに)凝っている人;)麻薬などの)常習者,fí:nd
6103,moan, 〈C〉(悲しみ・苦痛などの)『うめき[声]』《+『of』+『名』》 / 〈U〉《時にa ~》(風・波などの)うめき声に似た音、うなり《『of』+『名』》 / 『うめく』、うめき声をあげる / 〈風・波などが〉うめくような音をてたる、うなる / …‘を’うめくように言う(歌う)《+『out』+『名』、『名』+『out』》,móun
6104,revealing, 露出する、暴露する / 暗示的な、示唆に富んだ,riví:liŋ
